id_sesi,mata_kuliah,kelas,dosen,asisten,ruang_lab,peralatan_lab,inventaris_ruang_lab,hari,slot,warna_graph
L1-S035,Struktur Data,B,Dr. Lutfi M.Cs. (D09),"['Budi (A17)', 'Indah (A20)']",Lab-H,"['Alat-05', 'Alat-07', 'Alat-10']","[{'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-CF8DF2060412', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-637F29813411', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-4E4055D041F9', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-9A46C30E59F3', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-D01B3594DB90', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-F419063D6D9B', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-A995301E6B97', 'kondisi': 'Dalam Perawatan'}]",Senin,1,0
L1-S029,Machine Learning,A,"Dr. Maya S.Kom., M.Kom. (D11)","['Budi (A15)', 'Farhan (A16)']",Lab-E,"['Alat-06', 'Alat-08']","[{'nama_alat': 'Sound System', 'rfid': 'RFID-1108116A3A8E', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Proyektor', 'rfid': 'RFID-F5E5460B1906', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-D8070F6CC10B', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-159415FE762A', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-476F51F8BCEB', 'kondisi': 'Dalam Perawatan'}]",Senin,2,0
L1-S034,Grafika Komputer,B,Dr. Adi M.Cs. (D07),['Maya (A05)'],Lab-F,"['Alat-04', 'Alat-13']","[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-BDA29760E359', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-0FD0B2F7B4A0', 'kondisi': 'Baik'}, {'nama_alat': 'Proyektor', 'rfid': 'RFID-42780268B2D5', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-5751E9C27446', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Router', 'rfid': 'RFID-F9BFEF9E5E92', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-EE5BD7A6E836', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-8E333E4EEB10', 'kondisi': 'Baik'}]",Senin,3,0
L1-S013,Pemrograman Mobile,B,Dr. Sari Ph.D. (D10),['Rama (A07)'],Lab-C,['Alat-11'],"[{'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-03F297BF4FB7', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-9B893EAD901E', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-1CA33CC02F61', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-742C55CB74C3', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-246D4AF4222B', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-9BE47E24ED82', 'kondisi': 'Baik'}]",Senin,4,0
L1-S009,Algoritma & Pemrograman,C,Dr. Budi M.Eng. (D01),"['Eka (A04)', 'Farhan (A01)']",Lab-C,"['Alat-05', 'Alat-06', 'Alat-08']","[{'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-03F297BF4FB7', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-9B893EAD901E', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-1CA33CC02F61', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-742C55CB74C3', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-246D4AF4222B', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-9BE47E24ED82', 'kondisi': 'Baik'}]",Senin,5,1
L1-S036,Data Mining,B,Dr. Lutfi M.Cs. (D09),"['Farhan (A16)', 'Farhan (A18)']",Lab-A,['Alat-01'],"[{'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-D7AB5A7215E4', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-29F817CFB0F9', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-5ADB94B6921C', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-20CDC184C75F', 'kondisi': 'Baik'}]",Senin,6,1
L1-S008,Grafika Komputer,C,Dr. Adi M.Cs. (D07),"['Farhan (A10)', 'Rama (A02)']",Lab-H,"['Alat-11', 'Alat-14']","[{'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-CF8DF2060412', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-637F29813411', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-4E4055D041F9', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-9A46C30E59F3', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-D01B3594DB90', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-F419063D6D9B', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-A995301E6B97', 'kondisi': 'Dalam Perawatan'}]",Senin,7,1
L1-S022,Basis Data,A,Dr. Lutfi M.Cs. (D09),"['Budi (A15)', 'Farhan (A18)']",Lab-F,"['Alat-01', 'Alat-06', 'Alat-09']","[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-BDA29760E359', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-0FD0B2F7B4A0', 'kondisi': 'Baik'}, {'nama_alat': 'Proyektor', 'rfid': 'RFID-42780268B2D5', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-5751E9C27446', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Router', 'rfid': 'RFID-F9BFEF9E5E92', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-EE5BD7A6E836', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-8E333E4EEB10', 'kondisi': 'Baik'}]",Senin,8,2
L1-S020,Mikrokontroler,A,Dr. Adi M.Cs. (D07),"['Budi (A13)', 'Taufik (A09)']",Lab-G,"['Alat-02', 'Alat-05', 'Alat-14']","[{'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-9E07D320BC65', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-3CC7C5EB9DAD', 'kondisi': 'Baik'}, {'nama_alat': 'Proyektor', 'rfid': 'RFID-AF1F3E97ECAE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-146CCBB815B0', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-A8626707A00B', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-8A72E3D6895F', 'kondisi': 'Perlu Perbaikan'}]",Senin,9,2
L1-S045,Struktur Data,C,"Dr. Wira S.T., M.T. (D04)",['Taufik (A14)'],Lab-D,['Alat-08'],"[{'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-6777A1A7D4A3', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-1A62204E1850', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-3D60A1EE93C0', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1098DCA4622B', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-C6ADA7936D70', 'kondisi': 'Baik'}, {'nama_alat': 'Proyektor', 'rfid': 'RFID-7E2D1110DFAD', 'kondisi': 'Baik'}]",Senin,10,2
