id_sesi,mata_kuliah,kelas,dosen,asisten,ruang_lab,peralatan_lab,inventaris_ruang_lab,hari,slot,warna_graph
L4-S087,Mikrokontroler,B,Dr. Sari M.Eng. (D10),"['Hadi (A26)', 'Umi (A01)']",Lab-F,"['Alat-02', 'Alat-12', 'Alat-16']","[{'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-4A52DA3A6A1E', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-F00B785F90AD', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-FEC0C651653D', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-ACF937E8BF96', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-9346298EB5D4', 'kondisi': 'Perlu Perbaikan'}]",Senin,1,0
L4-S011,Data Mining,C,"Dr. Taufik S.Kom., M.Kom. (D03)","['Gita (A23)', 'Oka (A17)']",Lab-B,"['Alat-04', 'Alat-09', 'Alat-17']","[{'nama_alat': 'Whiteboard', 'rfid': 'RFID-7AE82BCE62AC', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-59A35D0C3546', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-E34552FAFAFD', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-05E2170ED2DF', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-1373D6A6F5DD', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-5361FA3CA46F', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-E1B560BC38E6', 'kondisi': 'Perlu Perbaikan'}]",Senin,1,0
L4-S026,Multimedia,B,"Dr. Kartika S.T., M.T. (D08)","['Indah (A09)', 'Kartika (A05)']",Lab-G,"['Alat-05', 'Alat-06', 'Alat-11']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-2D2462803CAE', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-F557FD3B13F7', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-A3FC3026B302', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-E7236221623D', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-754C2019B64C', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-58B50213CFBC', 'kondisi': 'Baik'}]",Senin,2,0
L4-S002,Kecerdasan Buatan,A,"Dr. Adi S.Kom., M.Kom. (D09)",['Taufik (A25)'],Lab-I,['Alat-03'],"[{'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-138425B11652', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-75FE4A8DED9E', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-976DA2E6828E', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-FD1695F2E3F1', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-9F42022B9215', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-E932843FC706', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-F302B073E278', 'kondisi': 'Baik'}]",Senin,2,0
L4-S014,Pemrograman Web,B,Dr. Maya Ph.D. (D13),['Citra (A14)'],Lab-C,"['Alat-07', 'Alat-08', 'Alat-13']","[{'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-41F5FCD24953', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-0A52A65F958E', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-D3BA55B5B692', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-FD58DC838ED3', 'kondisi': 'Baik'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-B7F56F14795C', 'kondisi': 'Baik'}, {'nama_alat': 'Rak Peralatan', 'rfid': 'RFID-9CE92FC78F0A', 'kondisi': 'Baik'}, {'nama_alat': 'Proyektor', 'rfid': 'RFID-CDD393FFC2F8', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-75B94FA5FB3D', 'kondisi': 'Perlu Perbaikan'}]",Senin,3,0
L4-S065,IoT,B,"Dr. Kartika S.T., M.T. (D08)",['Hadi (A26)'],Lab-B,"['Alat-08', 'Alat-12', 'Alat-16']","[{'nama_alat': 'Whiteboard', 'rfid': 'RFID-7AE82BCE62AC', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-59A35D0C3546', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-E34552FAFAFD', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-05E2170ED2DF', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-1373D6A6F5DD', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-5361FA3CA46F', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-E1B560BC38E6', 'kondisi': 'Perlu Perbaikan'}]",Senin,4,1
L4-S021,Sistem Operasi,C,Dr. Sari M.Eng. (D10),['Dewi (A24)'],Lab-I,"['Alat-05', 'Alat-17']","[{'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-138425B11652', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-75FE4A8DED9E', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-976DA2E6828E', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-FD1695F2E3F1', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-9F42022B9215', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-E932843FC706', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-F302B073E278', 'kondisi': 'Baik'}]",Senin,4,1
L4-S048,Pemrograman Web,C,Dr. Rama M.Eng. (D11),"['Hadi (A04)', 'Nanda (A03)']",Lab-A,"['Alat-01', 'Alat-11', 'Alat-13']","[{'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-8AADB36B59AE', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-6AF8B33F172C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-CDB7B264200F', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-D49D85647400', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-5EEA40FE70C4', 'kondisi': 'Baik'}, {'nama_alat': 'Server Rack', 'rfid': 'RFID-8E0D2C9354A0', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-BB1389B0A352', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-F62E23C55B9A', 'kondisi': 'Baik'}]",Senin,5,1
L4-S027,Rekayasa Perangkat Lunak,A,"Dr. Sari S.T., M.T. (D06)",['Oka (A17)'],Lab-F,['Alat-14'],"[{'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-4A52DA3A6A1E', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-F00B785F90AD', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-FEC0C651653D', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-ACF937E8BF96', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-9346298EB5D4', 'kondisi': 'Perlu Perbaikan'}]",Senin,5,1
L4-S094,Robotika,C,"Dr. Adi S.T., M.T. (D07)","['Dewi (A11)', 'Taufik (A25)']",Lab-G,"['Alat-03', 'Alat-04', 'Alat-09']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-2D2462803CAE', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-F557FD3B13F7', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-A3FC3026B302', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-E7236221623D', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-754C2019B64C', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-58B50213CFBC', 'kondisi': 'Baik'}]",Senin,6,1
